javascript_builtin, javascript_mergesort, javascript_quicksort
401.2682999999961,591.2802000000374,302.1931999999797
303.1716000000015,605.4885999999242,240.4028999999864
361.88100000005215,690.985400000005,231.8342999999877
295.8503000000492,509.8194000000367,354.0792000000365
322.3233000000473,629.4925999999978,281.7127999999793
385.1410999998916,751.2260000000242,295.6840000000084
447.00989999994636,891.4986000000499,284.10269999993034
327.4585000000661,579.0557999999728,360.8335000000661
309.1238000000594,801.8636999999871,338.3552999999374
307.2381999999052,696.6119999999646,268.0542000000132
343.8828999999678,859.2793000000529,308.7408999999752
320.8381999999983,568.9072999999626,187.7970000000205
296.42130000004545,696.9185000000289,324.40810000000056
327.3586999999825,649.5485999999801,197.48420000006445
247.4955000000773,600.7430999999633,289.3607000000775
279.77150000003166,546.6182999999728,190.18290000001434
276.5204000000376,599.5246000000043,398.46710000000894
256.5869999999413,670.8421000000089,287.58459999994375
261.03819999995176,637.7811999999685,466.33089999994263
311.0583999999799,711.6916999999667,206.91240000003017
315.091999999946,712.0316999999341,260.7942000000039
305.3446000000695,505.08069999993313,260.37450000003446
324.1280000000261,660.8575999999885,351.82030000002123
254.795199999935,675.3817999999737,294.85310000006575
497.12670000002254,813.9696000000695,712.9910000000382
398.8151999999536,807.1771000000881,361.60580000001937
511.1855000000214,850.734199999948,322.30180000001565
461.08660000003874,720.7844000000041,374.3985999999568
449.90360000007786,740.280299999984,259.8789000000106
431.6959999999963,630.2153999999864,304.9082000000635
399.82279999996535,794.4712000000291,354.7369999999646
298.63000000000466,659.9785000000848,317.27899999998044
410.5234000000637,535.2301999999909,268.04940000001807
534.5064000000712,865.7324999999255,279.3640000000596
306.55259999993723,763.87770000007,354.94250000000466
333.66239999991376,718.3503000000492,337.4576000000816
524.9120000000112,1083.3980000000447,523.8268000000389
469.69290000002366,988.8054000000702,340.3307999999961
343.97990000003483,871.4259000000311,343.7597999999998
385.36559999990277,867.3301999999676,289.17269999999553
321.2064000000246,654.2257999998983,285.62410000001546
354.53960000001825,710.3869999999879,353.79469999996945
362.438300000038,780.2062999999616,328.3579000000609
396.5635000000475,680.3501999999862,286.24969999992754
434.0376999999862,857.8175000000047,270.34840000001714
320.94630000006873,642.4155000000028,292.6829999999609
313.69000000006054,675.9102999999886,241.36060000001453
298.1554999999935,821.9270999999717,269.0668000000296
316.97669999999925,943.1811000000453,312.155199999921
332.14179999998305,688.5372000000207,287.23300000000745
430.67029999999795,861.1210999999894,277.58149999997113
382.778699999908,742.0487999999896,338.076299999957
333.3495999999577,623.2102999999188,318.6001000000397
356.9414000000106,666.2135000000708,268.88810000009835
303.39750000007916,690.4581999999937,280.15240000002086
351.0520999999717,629.1265999999596,340.6330999999773
400.76130000001285,932.3659999999218,318.91270000010263
363.78020000003744,619.153399999952,344.5810000000056
316.79159999999683,726.1816999999573,246.08680000004824
417.1744999999646,704.4148999999743,268.4929000000702
370.1437000000151,668.9106000000611,304.7188000000315
322.6408999999985,731.1587000000291,286.7428999999538
433.26089999999385,690.0202999999747,498.4348000000464
385.8027000000002,712.468200000003,243.72470000002068
390.4623000000138,658.8179000000237,290.05550000001676
420.155299999984,630.6935999999987,243.59939999994822
359.48949999990873,852.2413999999408,293.96810000005644
310.71349999995437,632.5925999999745,264.9943000000203
337.2062000000151,616.1929000000237,284.6485999999568
313.6585999999661,622.3299000000115,199.33790000004228
315.82749999989755,830.3074999999953,360.70310000004247
307.33889999997336,736.2263999999268,241.9320000000298
458.42379999998957,640.9865999999456,268.29590000002645
381.2118999999948,585.1755000000121,348.7761000000173
306.906799999997,756.9303000000073,293.9919000000227
366.5022999999346,621.2518999999156,306.12100000004284
301.82420000003185,839.0651999999536,380.4065999999875
321.58359999989625,745.4231000000145,315.28879999998026
410.19330000004265,662.9948000001023,221.94779999996535
673.7903999999398,736.7961999999825,416.5055000000866
313.4487000000663,606.8053000000073,280.2780999999959
517.7552000000142,950.2375999999931,343.82990000001155
483.30429999995977,805.9223999999231,216.80299999995623
362.21450000000186,705.7277000000468,346.75719999999274
391.52350000001024,657.8342000000412,345.9200000000419
494.92009999998845,1065.7592999999179,465.87490000005346
477.26620000007097,737.0908000000054,266.57339999999385
388.530999999959,797.7554999999702,433.10329999995884
448.1511000000173,662.9810999999754,315.04940000001807
459.16680000000633,537.3506999999518,296.279799999902
402.15360000007786,751.9342999999644,275.0374000000302
375.7858000000706,658.7894000000088,285.83519999997225
282.50359999993816,698.481599999941,311.3638000001665
663.7094000000507,1069.6452000001445,377.3839999998454
407.96400000015274,696.6999999999534,344.57010000012815
371.8950000000186,748.7195999999531,300.0822999998927
453.83480000006966,696.7304999998305,266.02780000003986
301.4143000000622,619.4860000000335,289.81460000015795
313.80590000003576,798.9839000001084,204.39899999997579
297.5940999998711,928.3995999998879,233.87760000000708
347.5365999999922,918.8334000001196,312.655999999959
729.532700000098,650.5777999998536,280.4610999999568
412.10559999989346,799.467299999902,299.12690000003204
359.77129999990575,734.2382000000216,239.90650000004098
484.14770000008866,585.1694999998435,320.3926999999676
446.9876000001095,718.4148999999743,305.1032000000123
